date,yield_close,daily_change,tot_vol,maturity_month,maturity_year
2022-11-02,4.29,-0.02,11.3,7,2032
2022-11-03,4.35,0.06,0.4,7,2032
2022-11-07,4.45,0.1,210.0,7,2032
2022-11-08,4.51,0.06,160.95,7,2032
2022-11-09,4.49,-0.02,1.3,7,2032
2022-11-11,4.4,-0.09,102.77,7,2032
2022-11-14,4.39,-0.01,71.71,7,2032
2022-11-15,4.34,-0.05,117.3,7,2032
2022-11-16,4.31,-0.03,26.17,7,2032
2022-11-17,4.26,-0.05,39.46,7,2032
2022-11-21,4.34,0.08,46.74,7,2032
2022-11-22,4.38,0.04,13.45,7,2032
2022-11-23,4.38,0.0,88.63,7,2032
2022-11-24,4.13,-0.25,142.07,7,2032
2022-11-25,4.1,-0.03,10.37,7,2032
2022-11-29,4.13,0.03,130.22,7,2032
2022-11-30,4.11,-0.02,116.39,7,2032
2022-12-01,4.04,-0.07,217.98,7,2032
2022-12-02,4.02,-0.02,160.98,7,2032
2022-12-05,4.04,0.02,49.28,7,2032
2022-12-06,4.04,0.0,123.0,7,2032
2022-12-07,4.06,0.02,200.0,7,2032
2022-12-08,4.06,0.0,108.77,7,2032
2022-12-09,4.06,0.0,157.79,7,2032
2022-12-12,4.09,0.03,43.58,7,2032
2022-12-13,4.12,0.03,52.41,7,2032
2022-12-14,4.06,-0.06,102.78,7,2032
2022-12-15,4.01,-0.05,1447.04,7,2032
2022-12-16,4.0,-0.01,129.34,7,2032
2022-12-19,3.98,-0.02,90.71,7,2032
2022-12-20,4.05,0.07,11.0,7,2032
2022-12-21,4.06,0.01,190.22,7,2032
2022-12-22,4.05,-0.01,79.71,7,2032
2022-12-23,4.07,0.02,5.0,7,2032
2022-12-28,4.11,0.04,63.0,7,2032
2022-12-29,4.08,-0.03,27.03,7,2032
2022-12-30,4.07,-0.01,106.0,7,2032
2023-01-03,4.01,-0.06,306.57,7,2032
2023-01-04,3.99,-0.02,430.25,7,2032
